"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Brazil,145.819,167.583,179.166,143.652,142.957,226.938,263.256,286.539,320.105,439.434,455.335,399.249,382.465,429.184,546.764,770.86,851.146,883.862,864.307,599.642,655.454,559.982,509.798,558.232,669.29,891.633,1107.628,1397.114,1695.855,1669.204,2208.704,2614.027,2464.053,2471.718,2456.055,1800.046,1796.622,2063.519,1916.934,1873.286,1476.092,1670.65,1951.849,2191.137,2179.413,2256.91,2292.69,2413.082,2535.726,2670.791,2814.461
Brunei Darussalam,no data,no data,no data,no data,no data,4.831,3.291,3.872,3.689,4.109,4.923,5.254,5.526,5.588,6.002,7.153,7.204,7.043,5.353,5.779,6.65,6.206,6.475,7.266,8.723,10.561,12.71,13.571,15.949,11.892,13.707,18.525,19.048,18.094,17.098,12.93,11.4,12.128,13.567,13.469,12.006,14.006,16.682,15.095,15.463,15.565,16.457,17.575,18.477,19.506,20.442
Bulgaria,37.751,40.718,42.467,43.641,46.358,39.692,35.13,40.721,66.546,67.774,29.882,2.928,11.882,6.449,11.338,18.992,12.295,11.317,15.031,13.628,13.246,14.183,16.403,21.146,26.158,29.868,34.38,44.432,54.476,52.024,50.69,57.682,54.297,55.82,57.081,50.766,53.929,59.288,66.318,68.639,70.658,84.477,90.719,102.434,112.232,127.924,142.203,151.081,159.772,168.285,177.26
Burkina Faso,2.386,2.076,1.934,1.767,1.579,1.746,2.29,2.665,2.942,2.942,3.488,3.526,3.775,3.599,2.164,2.676,2.909,2.753,3.155,3.388,2.961,3.19,3.62,4.74,5.449,6.15,6.548,7.627,9.45,9.44,10.118,12.078,12.569,13.444,13.947,11.833,12.829,14.094,15.916,16.092,17.837,19.708,18.662,20.116,23.13,26.866,30.705,33.017,35.22,37.568,40.216
Burundi,1.106,1.151,1.216,1.287,1.17,1.362,1.435,1.352,1.267,1.316,1.316,1.358,1.26,1.092,1.076,1.164,1.011,1.131,1.039,0.999,0.989,0.983,0.907,0.844,0.952,1.117,1.273,1.356,1.612,1.775,2.032,2.236,2.333,2.456,2.706,3.104,2.96,3.172,3.037,3.009,3.089,3.356,3.922,4.291,4.827,7.025,9.212,10.528,10.521,10.331,9.73
Cabo Verde,0.157,0.187,0.149,0.144,0.146,0.164,0.212,0.264,0.322,0.332,0.413,0.443,0.479,0.431,0.45,0.57,0.611,0.609,0.648,0.693,0.699,0.791,0.867,1.105,1.263,1.395,1.452,1.65,1.96,1.852,1.825,2.047,1.913,2.029,2.042,1.75,1.85,1.997,2.205,2.251,1.829,2.053,2.252,2.501,2.726,2.915,3.138,3.362,3.595,3.845,4.102
Cambodia,no data,no data,no data,no data,no data,no data,0.205,0.141,0.276,0.346,0.898,2.007,2.435,2.422,2.76,3.43,3.509,3.462,3.132,3.522,3.707,4.154,4.507,5.054,5.879,7.058,8.342,10.117,12.162,12.49,13.796,16.017,17.829,19.806,22.04,24.217,26.591,29.394,33.181,36.682,34.898,36.797,39.089,42.404,46.098,48.802,51.506,55.269,59.55,64.293,69.565
Cameroon,8.85,10.026,9.616,9.692,10.243,10.698,13.945,16.152,16.403,14.626,14.641,16.325,14.963,15.611,10.622,10.075,11.227,11.352,11.338,11.553,10.245,10.95,12.369,15.944,18.803,19.534,20.912,23.931,27.712,27.903,27.53,30.626,30.174,33.729,36.396,32.213,33.805,36.086,39.992,39.673,40.863,45.036,44.442,49.287,54.394,60.577,67.517,73.025,78.787,85.008,91.528
Canada,276.064,307.246,314.639,341.863,356.728,366.184,379.015,433.14,509.38,567.225,596.089,612.514,594.376,579.059,579.913,605.941,630.598,655.01,634.004,678.417,744.631,738.968,760.149,895.599,1026.473,1173.505,1319.356,1468.896,1552.864,1376.509,1617.345,1793.327,1828.362,1846.595,1805.751,1556.508,1527.996,1649.266,1725.3,1743.725,1655.685,2022.382,2190.411,2173.34,2243.637,2283.599,2420.837,2539.681,2652.785,2771.982,2910.474
Central African Republic,0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.868,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,2.051,1.866,1.995,2.198,2.383,2.444,2.48,2.672,2.515,2.721,2.831,3.3,3.708,4.098,4.429,4.79,5.212
Chad,0.958,1.133,1.095,1.096,1.177,1.275,1.57,1.78,2.081,1.966,2.369,2.347,2.446,2.138,1.732,2.123,2.36,2.268,2.561,2.256,2.039,2.512,2.928,4.025,6.49,8.66,9.71,10.867,13.384,12.304,14.07,16.682,17.878,17.861,18.186,14.566,13.075,13.258,15.169,14.819,14.812,16.975,18.052,18.638,19.836,21.592,23.556,24.774,26.105,27.606,29.213
Chile,29.032,34.374,25.63,20.819,20.246,17.36,18.662,22.01,25.947,29.889,33.231,38.249,46.597,49.855,57.517,74.119,78.575,85.73,81.996,75.596,78.25,71.517,70.295,76.508,99.079,122.315,153.84,172.565,179.663,171.794,217.105,251.225,267.165,277.218,259.394,242.515,249.306,276.357,295.428,278.04,254.06,315.411,301.27,335.627,330.21,347.174,363.299,380.53,396.837,413.81,431.103
"China, People's Republic of",303.55,289.215,285.139,306.013,314.832,310.709,301.471,328.305,409.363,458.985,397.359,415.946,495.515,621.918,566.297,737.654,868.77,967.886,1035.51,1101.134,1220.337,1351.372,1486.618,1680.942,1978.937,2325.515,2797.286,3612.21,4653.314,5176.18,6138.992,7624.861,8682.939,9782.784,10701.415,11307.226,11448.003,12503.299,14110.963,14572.41,15103.357,18190.803,18307.816,18270.351,18749.759,19398.577,20650.754,22016.582,23451.376,24852.392,26336.991
Colombia,46.501,50.661,54.252,53.92,53.257,48.581,48.648,50.64,54.592,55.048,56.071,57.954,68.579,77.721,97.665,110.564,116.13,127.49,117.725,103.132,99.27,97.606,97.353,94.072,116.382,145.601,161.793,206.23,242.504,232.469,286.499,334.966,370.691,382.094,381.241,293.493,282.72,311.889,334.124,323.054,270.348,318.525,345.632,366.292,418.818,438.121,462.251,482.176,504.35,528.479,552.724
Comoros,0.243,0.213,0.202,0.196,0.189,0.192,0.258,0.313,0.336,0.329,0.402,0.401,0.437,0.428,0.315,0.393,0.392,0.363,0.364,0.372,0.34,0.373,0.427,0.547,0.622,0.656,0.689,0.796,0.916,0.904,0.909,1.023,1.016,1.116,1.15,0.966,1.013,1.077,1.179,1.188,1.218,1.273,1.224,1.328,1.442,1.613,1.77,1.882,2.001,2.12,2.253
"Congo, Dem. Rep. of the",68.606,59.726,64.939,52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,7.246,8.72,9.022,10.275,12.72,15.403,18.598,22.665,18.626,22.34,26.406,30.074,34.908,38.355,40.154,38.086,39.461,48.037,50.891,51.912,57.718,66.161,67.426,74.498,82.262,88.126,93.862,100.438,107.977,115.223
"Congo, Republic of ",2.165,1.775,1.548,1.407,1.294,1.327,1.815,2.205,2.346,2.478,2.909,3.035,3.28,3.004,2.068,2.457,2.84,2.568,2.24,2.646,3.624,3.038,3.33,3.863,5.101,6.654,8.073,8.784,11.649,9.713,13.159,15.653,17.704,17.959,17.918,11.891,10.928,11.83,14.781,13.977,11.485,13.387,13.967,14.169,14.774,15.695,16.952,17.971,19.152,20.406,21.674
